INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../Compiled_Code/ISI_MUL_FIX_test.cpp in debug mode
   Compiling ../../../../Compiled_Code/ISI_MUL_FIX.cpp in debug mode
   Generating csim.exe
ISI: 0.177734 in Channel 1
ISI: 0.0510254 in Channel 2
ISI: 0.106689 in Channel 3
ISI: 0.194824 in Channel 4
ISI: 0.139648 in Channel 5
ISI: 1 in Channel 6
ISI: 0.120605 in Channel 7
ISI: 1 in Channel 8
ISI: 1 in Channel 9
ISI: 1 in Channel 10
ISI: 0.0267334 in Channel 11
ISI: 1 in Channel 12
ISI: 1 in Channel 13
ISI: 1 in Channel 14
ISI: 1 in Channel 15
ISI: 0.156494 in Channel 16
ISI: 1 in Channel 17
ISI: 0.0356445 in Channel 18
ISI: 1 in Channel 19
ISI: 1 in Channel 20
ISI: 1 in Channel 21
ISI: 0.0800781 in Channel 22
ISI: 1 in Channel 23
ISI: 0.175293 in Channel 24
ISI: 0.0756836 in Channel 25
ISI: 1 in Channel 26
ISI: 0.036377 in Channel 27
ISI: 1 in Channel 28
ISI: 1 in Channel 29
ISI: 0.198242 in Channel 30
ISI: 1 in Channel 31
ISI: 0.197998 in Channel 32
ISI: 1 in Channel 33
ISI: 1 in Channel 34
ISI: 1 in Channel 35
ISI: 0.17041 in Channel 36
ISI: 1 in Channel 37
ISI: 0.138184 in Channel 38
ISI: 0.137451 in Channel 39
ISI: 1 in Channel 40
ISI: 1 in Channel 41
ISI: 1 in Channel 42
ISI: 1 in Channel 43
ISI: 0.0324707 in Channel 44
ISI: 1 in Channel 45
ISI: 0.177734 in Channel 46
ISI: 1 in Channel 47
ISI: 1 in Channel 48
ISI: 0.0651855 in Channel 49
ISI: 0.0563965 in Channel 50
ISI: 0.0341797 in Channel 51
ISI: 0.057373 in Channel 52
ISI: 0.0961914 in Channel 53
ISI: 0.0395508 in Channel 54
ISI: 0.107666 in Channel 55
ISI: 0.137695 in Channel 56
ISI: 0.0905762 in Channel 57
ISI: 0.09375 in Channel 58
ISI: 0.0480957 in Channel 59
ISI: 0.184814 in Channel 60
ISI: 1 in Channel 61
ISI: 0.0150146 in Channel 62
ISI: 0.072998 in Channel 63
ISI: 0.0383301 in Channel 64
ISI: 0.0577393 in Channel 65
ISI: 0.0843506 in Channel 66
ISI: 0.1521 in Channel 67
ISI: 0.119629 in Channel 68
ISI: 1 in Channel 69
ISI: 0.0476074 in Channel 70
ISI: 0.106689 in Channel 71
ISI: 0.155273 in Channel 72
ISI: 0.036499 in Channel 73
ISI: 0.0361328 in Channel 74
ISI: 1 in Channel 75
ISI: 0.0483398 in Channel 76
ISI: 0.027832 in Channel 77
ISI: 1 in Channel 78
ISI: 1 in Channel 79
ISI: 1 in Channel 80
ISI: 0.0244141 in Channel 81
ISI: 1 in Channel 82
ISI: 1 in Channel 83
ISI: 1 in Channel 84
ISI: 1 in Channel 85
ISI: 0.0625 in Channel 86
ISI: 0.0317383 in Channel 87
ISI: 1 in Channel 88
ISI: 0.0927734 in Channel 89
ISI: 0.186279 in Channel 90
ISI: 0.0905762 in Channel 91
ISI: 1 in Channel 92
ISI: 1 in Channel 93
ISI: 1 in Channel 94
ISI: 0.0311279 in Channel 95
ISI: 1 in Channel 96
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
