0.020439,0.19824,;0.11284,0.16585,0.17793,;0.062627,0.090684,0.091422,0.1982,;0.19484,;0.14942,0.15434,0.17207,;0,;0.12079,;0,;0,;0,;0.082943,0.084704,0.11239,0.12345,;0,;0,;0,;0,;0.15671,;0,;0.080158,0.11702,0.12136,;0,;0,;0,;0.080158,;0,;0.17535,;0.075734,;0,;0.09179,0.09261,0.11415,0.15536,0.15597,0.19214,;0,;0,;0.19829,;0,;0.19824,;0,;0,;0,;0.17064,;0,;0.028385,0.16666,;0.13767,;0,;0,;0,;0,;0.032522,;0,;0.17793,;0,;0,;0.080117,0.12411,0.1894,;0.090725,0.094002,0.1101,0.11084,0.14192,0.14242,0.19886,;0.092732,0.095682,0.12984,;0.029819,0.069508,0.07086,0.071761,0.090603,0.14795,;0.096378,;0.096255,0.10408,0.11784,0.15733,;0.038051,0.080158,0.18776,;0.13783,;0.090644,;0.10482,0.19861,;0.13222,0.18018,;0.19075,0.1914,;0,;0.049889,0.050667,0.12972,0.13046,0.15978,0.17563,0.17629,0.17854,;0.09134,0.16449,;0.11071,0.12734,0.13787,0.18006,0.18063,0.19132,0.19202,;0.11084,0.17273,0.18276,0.18657,;0.087285,0.091831,;0.15221,;0.077209,0.19681,;0,;0.047677,;0.11035,0.11104,;0.15536,;0.022569,0.091668,0.096501,0.11063,0.14823,0.15057,;0.036864,0.053493,0.055132,0.093961,0.10809,0.11506,;0,;0.061849,0.11207,0.12783,;0.068607,0.096542,;0,;0,;0,;0.026992,0.030556,0.031498,0.063528,0.096296,0.09904,0.10002,0.12509,0.12808,;0,;0,;0,;0,;0.062627,;0.090357,0.12644,0.15798,;0,;0.092814,;0.18641,;0.090766,;0,;0,;0,;0.061316,0.065904,0.10035,0.1262,0.1477,0.17973,0.18551,;0,;
0,;0.23777,0.23871,0.34975,;0.20615,;0,;0,;0,;0.25948,0.27218,;0,;0.29548,0.3389,0.36474,0.37204,;0,;0,;0.20824,0.33783,0.36503,;0,;0.34967,;0,;0.2723,0.37826,;0.32542,;0,;0,;0,;0.36831,;0,;0,;0,;0,;0.34533,0.379,;0.26243,0.27074,0.32743,0.32829,0.33325,0.38092,;0,;0,;0,;0,;0.25673,;0,;0,;0,;0,;0.27218,;0,;0.20656,0.28254,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0.22225,;0.28365,;0,;0.37761,0.38023,0.39616,;0,;0.34111,;0,;0.27967,;0,;0.21266,0.23163,;0,;0.20156,0.20234,0.2084,0.3022,;0,;0,;0,;0.2381,0.30331,0.30711,0.33169,0.3321,;0.26939,0.27001,0.32288,0.32358,;0.24596,0.27398,;0.22606,0.38793,;0,;0,;0,;0.28569,0.28725,;0.20771,0.2639,0.38858,;0.20603,0.21119,;0,;0,;0.21578,0.2528,;0.23953,0.26333,0.26448,0.26595,0.26984,0.27046,0.27123,0.27218,;0.30175,;0.30068,;0,;0.21668,0.25223,0.39624,0.39723,;0.30175,;0,;0.30175,;0,;0,;0,;0,;0.28242,;0,;0,;0.33865,0.37363,;0.28659,0.38211,;0,;0.30531,0.34111,0.355,;0.23904,;
0,;0.40583,0.4261,0.54112,0.57646,0.59707,;0,;0,;0,;0.43401,;0.4592,;0,;0.59821,;0,;0,;0,;0.46055,;0,;0,;0.41943,0.42008,0.46526,;0.58675,;0,;0,;0.44343,;0,;0.485,;0,;0,;0.415,0.43229,0.45064,;0,;0.42324,0.45961,0.46043,;0.47742,;0.52785,0.52891,0.59322,;0,;0,;0.47325,;0,;0,;0,;0,;0.47165,0.50565,;0.53997,;0,;0,;0,;0,;0,;0,;0,;0.47321,;0,;0,;0,;0.41492,;0,;0.41115,;0,;0,;0,;0.43888,0.50601,;0.59944,;0,;0,;0,;0.53882,;0.42389,0.53489,0.58683,;0.56897,;0.40333,;0.42737,;0.41521,0.42811,0.44871,0.4841,0.48877,0.49623,0.53297,0.55549,;0,;0.41766,;0,;0.50175,0.59301,;0.57835,;0.4114,;0.41295,;0.42012,0.42102,;0,;0.41148,;0,;0,;0,;0,;0.43962,0.49795,0.49901,0.53899,0.53993,0.59694,0.59785,;0,;0.47312,;0,;0,;0,;0.40325,;0.4261,;0,;0.50966,;0,;0,;0.59031,;0.4259,;0.42573,0.42668,0.43114,0.43192,0.43225,;0.46993,;
0,;0.79707,;0,;0,;0.78905,;0,;0,;0.79793,;0,;0.78667,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0.64552,;0,;0,;0.64188,;0.78454,0.78888,;0,;0,;0,;0,;0,;0,;0.75136,;0,;0,;0,;0,;0.78704,;0,;0.78274,;0,;0,;0.63803,0.787,;0,;0,;0,;0,;0,;0,;0,;0.71802,0.71839,;0.75316,;0.60587,;0,;0,;0,;0,;0,;0,;0,;0.75964,;0,;0,;0,;0.73449,;0,;0,;0.64335,0.64417,0.65515,0.7136,0.75738,0.78814,;0,;0,;0.74227,;0,;0,;0,;0,;0.79961,;0.78352,;0.6678,;0,;0,;0.65797,;0.65077,0.65183,0.67178,0.6728,0.75267,0.7702,0.77127,;0,;0,;0,;0.63041,0.75587,;0,;0.65802,;0,;0.73658,0.76226,;0.79408,;0,;0,;0.79543,;0,;0,;0,;
0,;0.81436,0.83791,0.84127,0.89304,;0.81329,;0.99786,;0.84008,;0,;0.98762,;0.9016,;0,;0.87137,0.87907,0.96452,;0.84614,;0.87617,0.8905,;0.83103,0.86158,0.97926,;0,;0.89509,;0.81559,0.86802,;0,;0,;0.80723,0.84004,;0,;0.83558,0.83689,0.91016,0.93822,;0,;0,;0,;0.87875,0.89169,0.9102,;0,;0.81673,0.85077,;0,;0,;0,;0.96112,;0,;0.81346,0.87051,0.87129,0.87379,;0,;0,;0,;0.8368,0.85274,0.96349,;0,;0.81014,0.86908,0.87797,0.88976,0.91692,0.91962,;0.89284,;0.88165,;0,;0.96103,;0.84127,;0.83218,;0,;0,;0.81661,0.84618,0.97558,;0.95997,0.99565,;0.83947,0.97828,;0.86867,;0.8196,0.89783,;0,;0,;0,;0.98151,;0.93814,;0,;0.89427,;0,;0,;0.8511,0.85192,;0,;0.84143,;0.97299,;0,;0,;0,;0,;0.83459,0.84373,0.86871,;0,;0,;0,;0.82484,;0.84819,;0.81469,0.83881,0.83971,0.97705,0.99249,;0.87297,;0.97062,0.97488,;0,;0,;0,;0.97062,0.97488,;0,;0.97062,0.97492,;0.92999,;0,;0.87289,;0,;0,;0.85065,;0,;0.94338,;0,;0.83201,;0.84602,;0.92196,0.92306,;
1.0859,;1.0595,;1.0858,;1.0289,1.0569,;1.0628,;1.0255,;0,;0,;0,;0,;1.0859,1.1197,;1.0858,;0,;0,;1.149,;0,;0,;0,;1.0522,;0,;1.1198,1.1803,;0,;0,;1.0858,;0,;0,;1.1778,;1.0858,;1.0255,;1.0858,;1.0255,;1.0522,1.0858,;0,;0,;0,;0,;0,;0,;1.0655,1.1644,;0,;0,;0,;1.0255,;0,;0,;0,;1.0858,;1.0485,;0,;1.1807,;0,;1.0214,1.1232,1.1318,;0,;0,;1.1872,;0,;1.1531,;0,;1.153,1.1791,;0,;1.159,;1.1375,1.1383,;0,;0,;0,;0,;1.0214,1.117,1.1191,1.1198,;0,;0,;1.0858,;1.0426,1.0434,1.1198,;0,;0,;1.1665,1.1673,1.1737,;1.0327,1.1767,;1.0589,1.1806,;1.0035,;0,;0,;0,;1.0371,1.0381,1.0988,1.0998,;0,;0,;0,;0,;0,;0,;0,;0,;1.1775,1.1987,;1.1253,;0,;0,;0,;0,;0,;
1.2813,;1.2406,1.3091,1.3952,;1.2554,1.2562,1.2643,1.2658,1.2769,1.3128,1.3332,1.3703,;1.2575,1.3127,;1.2412,1.2534,1.328,;0,;1.2828,;1.2941,;0,;0,;1.291,;0,;1.3197,1.3343,1.3367,1.337,1.3436,;0,;0,;0,;0,;1.2813,1.3413,;1.2858,1.3486,;0,;1.2509,;1.2487,;1.2049,;0,;0,;1.3435,1.3987,1.3996,;1.2758,1.2765,1.3129,1.315,1.3292,1.3669,1.3806,;1.3422,;1.2487,;1.2575,1.3847,;1.2165,1.2487,;0,;1.2829,;1.2164,;1.2165,;0,;1.3382,;1.26,;1.2783,;1.2164,1.2575,;0,;1.3198,;0,;1.3422,1.343,1.3729,;0,;1.3754,;1.2165,;0,;1.2866,1.2875,1.3203,1.3828,;1.2537,1.2989,;1.2198,1.2594,1.3468,;1.2606,1.2625,;0,;1.3244,;0,;1.2305,1.3455,;1.2876,1.2887,1.3809,;1.3496,;0,;1.3496,1.3983,;1.2862,;1.289,1.2935,1.2944,1.3118,1.3496,;1.3495,;1.227,1.257,1.2574,1.2772,1.3149,1.3298,1.3515,1.352,1.37,;1.3157,;1.29,1.2906,1.3174,1.318,1.3186,;1.2518,;1.3116,1.3198,;0,;1.2086,;0,;1.3108,;1.2745,;1.2162,1.2189,1.2209,1.2214,1.2489,1.3129,;1.2908,;0,;1.2678,1.3721,;0,;0,;1.3019,;1.3621,1.3628,1.3652,;0,;0,;0,;0,;1.2165,;1.3452,1.3463,;0,;1.236,1.3198,;1.3766,;0,;1.3495,;1.2164,;1.2593,;1.2565,1.2581,1.2593,1.2932,1.294,1.2988,1.3311,1.3341,1.3654,;1.3752,;
0,;1.5568,1.5818,;0,;1.4684,;0,;0,;1.4015,;0,;1.4063,1.5163,1.5531,;0,;0,;0,;0,;0,;1.4413,;0,;1.5897,;0,;1.4267,;1.4016,1.4362,;1.4195,1.5565,;0,;0,;0,;1.5164,1.5215,;0,;1.4412,1.5151,;0,;0,;1.4539,;0,;0,;0,;0,;0,;0,;1.5164,;0,;0,;0,;0,;0,;1.5402,;1.4655,1.4662,1.5212,1.5896,1.5904,;0,;1.5402,;1.5402,;0,;1.4643,1.506,;1.4781,1.4856,;0,;1.4079,1.4382,1.4387,1.453,1.4669,1.5027,1.5119,1.5127,1.5983,;0,;1.4847,1.5163,;1.5738,;1.4213,;1.5737,;0,;0,;1.5462,;0,;0,;0,;1.4398,1.4609,1.496,1.5494,;0,;0,;1.5153,1.5323,;1.4267,1.458,1.4589,;0,;0,;1.5889,1.5897,;1.4258,1.5762,1.586,;0,;1.4028,;1.5173,;1.4025,;0,;0,;1.4572,;1.4071,;1.4516,1.533,1.5341,1.5555,1.5565,;0,;1.5529,;0,;1.5099,;0,;1.4008,1.4019,;1.5164,;1.5402,;0,;0,;0,;1.4827,1.5402,;0,;0,;0,;
1.6265,1.6921,;1.7443,1.7451,;1.759,;1.6399,;0,;0,;0,;1.7026,;0,;0,;1.6581,;0,;0,;0,;1.737,;1.6059,;0,;1.6113,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;1.6886,;0,;0,;0,;1.6921,;0,;1.7904,;0,;0,;1.7757,;1.7865,;0,;0,;1.6086,1.6549,;1.6793,1.7822,;0,;0,;0,;1.6855,;0,;1.7903,;1.6244,;1.6557,;0,;0,;0,;0,;0,;0,;1.6352,1.6781,;0,;0,;1.6342,1.6351,;1.6125,1.6288,1.6582,1.6597,1.7341,;1.693,;0,;1.6818,;0,;0,;0,;1.6675,1.7572,1.7914,;0,;1.6949,1.7331,;0,;0,;0,;0,;0,;0,;0,;0,;1.615,1.6159,1.636,1.6369,1.6561,1.6572,1.7165,1.7176,;0,;1.7903,;0,;0,;0,;0,;0,;0,;0,;0,;0,;1.6939,;0,;0,;1.6349,;
0,;0,;1.9368,;0,;0,;0,;1.9995,;0,;0,;0,;0,;0,;0,;0,;1.8098,;0,;0,;1.9596,;1.8097,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;1.8241,;1.9329,;0,;1.9571,;0,;0,;0,;1.8973,;0,;0,;0,;1.8559,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;1.9303,;1.8469,1.8663,1.8671,;0,;1.8099,1.9865,;0,;0,;0,;1.8468,;0,;0,;1.9153,1.9161,;0,;0,;0,;0,;0,;0,;0,;0,;0,;1.9564,1.9574,;0,;0,;0,;0,;1.9609,;0,;0,;0,;0,;0,;0,;0,;0,;1.9218,;0,;
2.1199,;0,;0,;0,;0,;0,;2.1907,;0,;2.0841,;0,;2.0283,2.1177,;0,;0,;0,;0,;2.0887,;2.0434,;0,;0,;0,;0,;2.0247,2.0841,;2.0449,2.0842,;0,;0,;0,;2.0842,;2.0009,2.138,;0,;2.0842,;2.0405,2.0449,;0,;0,;0,;2.0448,;2.1199,;0,;0,;2.1187,;0,;0,;2.1734,;0,;2.12,;0,;0,;0,;0,;2.0466,;0,;0,;2.1205,;0,;0,;2.2,;0,;0,;0,;2.1981,;0,;0,;0,;0,;2.1677,;0,;0,;0,;2.042,;2.0882,2.1602,2.1891,;2.0002,2.1744,;0,;2.1369,;0,;2.1424,2.1858,;2.1178,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;2.1858,;0,;2.0842,;0,;0,;0,;0,;0,;0,;2.0864,2.0873,;0,;
